mode,chunk_size,seconds,rss_mb,checksum
full_read,0,2.748345715997857,287.6953125,111090469662.0
chunked_read,50000,2.094881390003138,287.6953125,111090469662.0
chunked_read,100000,2.104196870997839,287.6953125,111090469662.0
chunked_read,250000,2.1560515140008647,306.8046875,111090469662.0
