engine,partition_count,seconds,checksum
pandas,4,0.45144945599895436,31535815.0981
dask,4,2.989325911999913,31535815.0981
pandas,16,0.40524645500045153,31535815.0981
dask,16,2.9507230169983814,31535815.0981
pandas,64,0.6536147879996861,31535815.0981
dask,64,4.597274145999108,31535815.0981
