workload,chunk_label,workers,executor,seconds,speedup,efficiency
cpu_bound,small,1,serial,0.08278369099934935,1.0,1.0
cpu_bound,small,2,thread_pool,0.11595647100330098,0.7139204072275769,0.35696020361378844
cpu_bound,small,2,process_pool,0.11325820300044143,0.730928875845105,0.3654644379225525
cpu_bound,small,4,thread_pool,0.09395820799909416,0.8810692834855626,0.22026732087139064
cpu_bound,small,4,process_pool,0.06612489100007224,1.2519293377626726,0.31298233444066814
cpu_bound,small,8,thread_pool,0.14041650199942524,0.5895581346962211,0.07369476683702764
cpu_bound,small,8,process_pool,0.14534187100070994,0.569579092586093,0.07119738657326162
cpu_bound,medium,1,serial,0.3040208230013377,1.0,1.0
cpu_bound,medium,2,thread_pool,0.29498412199973245,1.0306345336160616,0.5153172668080308
cpu_bound,medium,2,process_pool,0.16336264200072037,1.8610180349556118,0.9305090174778059
cpu_bound,medium,4,thread_pool,0.26861218599879066,1.1318206650635965,0.2829551662658991
cpu_bound,medium,4,process_pool,0.14858498600005987,2.0461072897447066,0.5115268224361766
cpu_bound,medium,8,thread_pool,0.27560939400063944,1.103085851277741,0.13788573140971763
cpu_bound,medium,8,process_pool,0.12525582099988242,2.4271991558909116,0.30339989448636395
cpu_bound,large,1,serial,0.6478361359986593,1.0,1.0
cpu_bound,large,2,thread_pool,0.6353571090003243,1.0196409654060055,0.5098204827030027
cpu_bound,large,2,process_pool,0.3852452009996341,1.6816202624137935,0.8408101312068967
cpu_bound,large,4,thread_pool,0.5719266170017363,1.1327259769703857,0.2831814942425964
cpu_bound,large,4,process_pool,0.21325742800036096,3.037812760255004,0.759453190063751
cpu_bound,large,8,thread_pool,0.5515503799979342,1.174572912090253,0.14682161401128163
cpu_bound,large,8,process_pool,0.24329987300006906,2.6627064289444795,0.33283830361805994
io_bound,small,1,serial,0.056773421998514095,1.0,1.0
io_bound,small,2,thread_pool,0.027144916999532143,2.091493667101381,1.0457468335506905
io_bound,small,2,process_pool,0.05138485099814716,1.1048669188621612,0.5524334594310806
io_bound,small,4,thread_pool,0.01757750500109978,3.229890817551292,0.807472704387823
io_bound,small,4,process_pool,0.04544242300107726,1.2493484776806074,0.31233711942015185
io_bound,small,8,thread_pool,0.015482441001950065,3.666955487921013,0.45836943599012664
io_bound,small,8,process_pool,0.07957476399678853,0.7134601366936552,0.0891825170867069
io_bound,medium,1,serial,0.11201713199989172,1.0,1.0
io_bound,medium,2,thread_pool,0.0536356379998324,2.0884832580949584,1.0442416290474792
io_bound,medium,2,process_pool,0.08099326199953794,1.3830426042172592,0.6915213021086296
io_bound,medium,4,thread_pool,0.03759338799864054,2.9797030266051707,0.7449257566512927
io_bound,medium,4,process_pool,0.07401222699991195,1.5134949526653885,0.3783737381663471
io_bound,medium,8,thread_pool,0.03428255100152455,3.2674678146007947,0.40843347682509934
io_bound,medium,8,process_pool,0.0992002870007127,1.1292016927238016,0.1411502115904752
io_bound,large,1,serial,0.24707057400155463,1.0,1.0
io_bound,large,2,thread_pool,0.13057367899818928,1.8921927902864777,0.9460963951432388
io_bound,large,2,process_pool,0.13168719500026782,1.876192852319864,0.938096426159932
io_bound,large,4,thread_pool,0.08574364100059029,2.8815031775925366,0.7203757943981342
io_bound,large,4,process_pool,0.13284586599911563,1.859828848593598,0.4649572121483995
io_bound,large,8,thread_pool,0.10385931700147921,2.3788965798613497,0.2973620724826687
io_bound,large,8,process_pool,0.17797812900244026,1.3882075027216803,0.17352593784021003
