workers,observed_speedup,amdahl_speedup,gustafson_speedup,coordination_overhead_seconds,parallel_fraction_estimate
1,1.0,1.0,1.0,0.0,0.8062467332763051
2,1.6816202624137935,1.6753880854199317,1.8062467332763052,0.0,0.8062467332763051
4,3.037812760255004,2.5296285908028646,3.4187401998289153,0.0,0.8062467332763051
8,2.6627064289444795,3.395192514338102,6.643727132934136,0.05249003430526508,0.8062467332763051
